Model,CV_Accuracy,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,Std_Accuracy
Weighted Voting (Custom Optimized),0.8651570217127947,0.87365313302675,0.8867509786208974,0.879277360892471,0.9271530677492738,0.02395035726390646
Soft Voting (All Models),0.8637871586990962,0.8665750915750916,0.89418849744053,0.8793037982796669,0.9271157548664324,0.030621648771113757
Stacking (LogReg Meta-Learner),0.8637871586990962,0.8665101292453384,0.8941583860283047,0.8794167694739368,0.928281971967609,0.028427270950299316
Stacking (Diverse Base Models),0.862426614481409,0.8678713092854359,0.8892201144233663,0.8775949943998421,0.9280177917034285,0.0223696062949254
