iter	Logloss
0	0.6259520647
1	0.5724595361
2	0.5247618303
3	0.5036351381
4	0.4691662885
5	0.442965646
6	0.415424061
7	0.3956651227
8	0.3840002645
9	0.3724908261
10	0.3525058994
11	0.3365866782
12	0.3244687984
13	0.3177649701
14	0.3092918711
15	0.2986708701
16	0.291644544
17	0.2848691292
18	0.2792830815
19	0.2743308041
20	0.2740365103
21	0.2701530193
22	0.2638805801
23	0.259182473
24	0.2548633931
25	0.2513581433
26	0.2474893206
27	0.2431221517
28	0.2391762561
29	0.236147607
30	0.2325634181
31	0.2290264973
32	0.2263727581
33	0.2248547588
34	0.222320404
35	0.2199522261
36	0.2180686069
37	0.2159398732
38	0.2131942154
39	0.210296985
40	0.207567881
41	0.2056338126
42	0.2034234922
43	0.200751391
44	0.1986255759
45	0.194705106
46	0.1906490087
47	0.1882111968
48	0.1851397593
49	0.1815360857
50	0.1797918672
51	0.1777459812
52	0.1760525787
53	0.174379573
54	0.1731662321
55	0.1698819268
56	0.1679530216
57	0.166216068
58	0.1649353338
59	0.162255986
60	0.1613307256
61	0.1597373174
62	0.158759466
63	0.1562562182
64	0.1551034802
65	0.1518495764
66	0.1498432428
67	0.148229841
68	0.1460085089
69	0.1445830592
70	0.1429161261
71	0.1416700966
72	0.1399837519
73	0.1382092091
74	0.1378809529
75	0.1370537171
76	0.1349684855
77	0.1334697292
78	0.1323237974
79	0.1310851882
80	0.1290122186
81	0.1284064886
82	0.1260329218
83	0.1242542022
84	0.1230157663
85	0.1208919714
86	0.1196630703
87	0.1186027138
88	0.117364906
89	0.1155969887
90	0.1148925156
91	0.1134063331
92	0.1123944862
93	0.1120522911
94	0.1109405448
95	0.1100045913
96	0.108126582
97	0.107178384
98	0.1052592242
99	0.1044480378
100	0.1035866388
101	0.1029360056
102	0.1020296936
103	0.1006179332
104	0.09958938445
105	0.09897929629
106	0.09763484816
107	0.09682113563
108	0.0961790717
109	0.09417921644
110	0.09357674783
111	0.09305055014
112	0.09154031718
113	0.08967523652
114	0.08843827087
115	0.08800095446
116	0.0869024696
117	0.08550586589
118	0.08467339057
119	0.08343551005
120	0.08325486004
121	0.08206336997
122	0.08198902364
123	0.08122634695
124	0.08033127936
125	0.07948033589
126	0.078682183
127	0.0772256184
128	0.07713286118
129	0.07646490847
130	0.07610685957
131	0.07525926737
132	0.07422535651
133	0.07363595317
134	0.07297040765
135	0.07175980218
136	0.07046798326
137	0.06955420952
138	0.06868568049
139	0.06784749182
140	0.06738090644
141	0.06642981301
142	0.06576748241
143	0.06512350602
144	0.06379938453
145	0.06314086284
146	0.06275501415
147	0.0616459138
148	0.06102110168
149	0.06047321587
150	0.05989129612
151	0.05928133501
152	0.05887348053
153	0.05801896349
154	0.05735569503
155	0.05665842978
156	0.05619289237
157	0.05521485232
158	0.05452594786
159	0.05413616476
160	0.05401899912
161	0.05378521276
162	0.05319373304
163	0.05288550654
164	0.05259139301
165	0.05218033526
166	0.05179711615
167	0.05127370676
168	0.05033364586
169	0.04994372303
170	0.0493756324
171	0.04891895373
172	0.0483683074
173	0.04793727887
174	0.04745726692
175	0.04705604603
176	0.04637948822
177	0.04594859412
178	0.04539438711
179	0.04489789309
180	0.04463866661
181	0.04405695985
182	0.04367703142
183	0.04352225449
184	0.04328680255
185	0.04275870347
186	0.04218684648
187	0.04205424898
188	0.04175779122
189	0.04155018907
190	0.04102650212
191	0.04063470153
192	0.0403637148
193	0.04007946921
194	0.03968779736
195	0.03937593884
196	0.03917690578
197	0.0389479469
198	0.03833676204
199	0.0382314565
