iter	Logloss
0	0.6859673435
1	0.6803070582
2	0.6730222229
3	0.6668099118
4	0.6598721888
5	0.6537612813
6	0.6465563681
7	0.6403486431
8	0.6341589848
9	0.6291411281
10	0.6226667244
11	0.6162849523
12	0.6101492488
13	0.6051134852
14	0.5988667921
15	0.5946784158
16	0.5905813725
17	0.5867972336
18	0.581536291
19	0.5764624163
20	0.5721706947
21	0.5667565168
22	0.5622095741
23	0.5589264817
24	0.554259667
25	0.5495856642
26	0.5454776163
27	0.5417955047
28	0.537658564
29	0.5332023318
30	0.5287349928
31	0.5248984953
32	0.5222954063
33	0.5182325191
34	0.5149941114
35	0.5110605327
36	0.508373465
37	0.5042981015
38	0.4999461902
39	0.4963478667
40	0.4928637547
41	0.4893738917
42	0.4859544525
43	0.4828324143
44	0.4793165149
45	0.4758572915
46	0.4745062151
47	0.472260093
48	0.4709665364
49	0.4681134299
50	0.4654905844
51	0.4618749743
52	0.4585341268
53	0.4552131771
54	0.4518103743
55	0.4488316648
56	0.4460068135
57	0.4432274573
58	0.44136012
59	0.4385781825
60	0.4359897338
61	0.4333722459
62	0.4306808195
63	0.4284939102
64	0.4259680174
65	0.4236417236
66	0.4213332068
67	0.4195734973
68	0.4173402067
69	0.4150631747
70	0.4133041223
71	0.411392058
72	0.4093247142
73	0.4079041856
74	0.4064789992
75	0.4048738796
76	0.4027430118
77	0.4015413449
78	0.3995433995
79	0.3977869955
80	0.3961223344
81	0.39370547
82	0.3921854861
83	0.3904460069
84	0.3885335808
85	0.3870625868
86	0.3857706274
87	0.3845617863
88	0.3828059481
89	0.380875145
90	0.3787413387
91	0.3771587488
92	0.3755474845
93	0.3740342465
94	0.372838311
95	0.3719169963
96	0.3702204988
97	0.3689162568
98	0.3678243478
99	0.3664638869
100	0.3650118269
101	0.3632693882
102	0.3620737478
103	0.360539512
104	0.3591481755
105	0.3576382111
106	0.3568740183
107	0.3555175687
108	0.3541618645
109	0.3526928944
110	0.3511620862
111	0.3501259913
112	0.3490054197
113	0.3475012823
114	0.3468800189
115	0.345428754
116	0.3442283117
117	0.3428367036
118	0.3418162878
119	0.3406890511
120	0.3394740622
121	0.338404931
122	0.3374773306
123	0.3357713585
124	0.3346420971
125	0.3335390281
126	0.3327239663
127	0.3318899748
128	0.330640965
129	0.3297020622
130	0.3287677596
131	0.3280692243
132	0.3271291171
133	0.3265935654
134	0.3256938994
135	0.3249565413
136	0.324185624
137	0.3236602621
138	0.3229149018
139	0.3219397955
140	0.3213376886
141	0.3204130991
142	0.3196605953
143	0.3187345736
144	0.3179836329
145	0.317090229
146	0.3163781735
147	0.3153946962
148	0.3147643959
149	0.3142796338
150	0.3138072614
151	0.3132960033
152	0.3125002997
153	0.3120467815
154	0.3114112727
155	0.3105051589
156	0.3098977121
157	0.3090893584
158	0.3084352409
159	0.3077966752
160	0.306971627
161	0.3061383504
162	0.3057064134
163	0.304983687
164	0.3043349522
165	0.303719751
166	0.303058609
167	0.3023185099
168	0.3015640781
169	0.3008127225
170	0.299967629
171	0.2994176775
172	0.2985651697
173	0.2979709002
174	0.2973268502
175	0.2965181186
176	0.2957532127
177	0.2951224887
178	0.2944351633
179	0.294014469
180	0.2932259716
181	0.2926575921
182	0.2920104396
183	0.2914238295
184	0.2908465787
185	0.2900406842
186	0.2894624412
187	0.2888857493
188	0.2881459813
189	0.2876991809
190	0.2871324119
191	0.2866288529
192	0.2861703162
